id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
949,Female,disloyal Customer,51,Business travel,Business,4018,3,2,4,5,2,5,5,4,3,2,3,2,4,4,23,23.0,satisfied
950,Male,disloyal Customer,15,Business travel,Eco,2587,2,4,2,3,3,2,4,4,2,3,1,4,4,3,1,10.0,satisfied
951,Male,Loyal Customer,7,Business travel,Business,4393,1,3,2,2,4,2,3,4,3,2,2,2,3,3,6,13.0,neutral or dissatisfied
952,Male,Loyal Customer,10,Business travel,Business,3926,2,4,3,2,2,2,3,5,3,3,3,2,4,3,0,2.0,satisfied
953,Female,Loyal Customer,77,Business travel,Business,1969,3,3,4,2,3,2,3,4,1,3,4,4,3,3,27,37.0,neutral or dissatisfied
954,Male,disloyal Customer,68,Personal Travel,Eco,4144,4,2,3,3,4,1,3,5,2,3,3,3,4,4,27,37.0,neutral or dissatisfied
955,Female,Loyal Customer,27,Business travel,Eco,3990,3,0,2,2,3,3,5,2,5,2,3,5,5,3,37,49.0,neutral or dissatisfied
956,Female,Loyal Customer,40,Business travel,Business,2420,4,5,3,5,2,3,4,4,2,3,3,2,1,5,30,26.0,satisfied
957,Male,Loyal Customer,44,Business travel,Business,146,2,3,2,3,3,2,4,5,4,2,3,3,3,5,27,32.0,neutral or dissatisfied
958,Female,Loyal Customer,26,Business travel,Business,3719,3,0,4,4,1,3,3,2,3,5,3,3,4,3,5,11.0,satisfied
959,Female,Loyal Customer,39,Business travel,Eco Plus,1731,5,3,4,4,2,5,2,0,3,3,2,3,3,5,1,1.0,neutral or dissatisfied
960,Male,disloyal Customer,34,Business travel,Eco,1855,1,4,4,5,2,4,3,2,2,4,3,4,4,4,21,29.0,neutral or dissatisfied
961,Male,Loyal Customer,61,Business travel,Business,3582,3,2,3,3,3,3,2,2,1,4,3,4,5,2,0,0.0,satisfied
962,Male,disloyal Customer,66,Business travel,Eco,4064,2,2,4,3,2,4,5,4,3,3,5,3,3,1,3,0.0,satisfied
963,Female,Loyal Customer,14,Personal Travel,Eco,484,3,3,2,1,3,1,2,3,4,2,3,1,5,3,27,37.0,neutral or dissatisfied
964,Male,Loyal Customer,43,Business travel,Eco,4128,3,4,5,3,4,3,3,3,4,4,5,4,2,3,7,3.0,satisfied
965,Female,Loyal Customer,84,Business travel,Eco,1499,4,3,2,4,4,3,4,3,3,1,5,0,4,0,27,13.0,neutral or dissatisfied
966,Female,Loyal Customer,74,Business travel,Eco,2852,3,5,1,3,2,3,2,3,2,2,3,2,3,3,49,74.0,neutral or dissatisfied
967,Female,Loyal Customer,68,Business travel,Eco,4349,2,4,5,5,2,3,3,3,4,4,3,2,3,3,1,0.0,neutral or dissatisfied
968,Male,Loyal Customer,64,Business travel,Business,1129,2,3,2,4,4,3,0,3,2,3,5,4,4,3,10,15.0,satisfied
969,Female,Loyal Customer,7,Personal Travel,Business,1143,3,1,3,2,4,2,3,4,2,2,4,3,3,5,6,0.0,satisfied
970,Male,Loyal Customer,82,Business travel,Business,4852,4,3,2,4,2,5,4,5,2,2,4,5,4,3,39,36.0,neutral or dissatisfied
971,Male,Loyal Customer,64,Personal Travel,Business,1896,5,4,5,1,2,4,3,2,3,2,2,1,5,3,1,0.0,satisfied
972,Male,Loyal Customer,76,Business travel,Business,4737,4,3,5,2,3,3,4,3,3,5,3,2,3,3,2,0.0,satisfied
973,Male,Loyal Customer,77,Personal Travel,Eco,1817,2,4,5,2,1,1,3,2,4,4,2,1,3,2,12,18.0,satisfied
974,Male,disloyal Customer,26,Business travel,Eco,3118,3,4,3,3,4,0,4,1,2,2,5,2,5,2,8,26.0,neutral or dissatisfied
975,Male,Loyal Customer,8,Business travel,Business,2575,3,4,4,3,4,5,2,4,3,3,4,2,4,0,12,12.0,satisfied
976,Male,Loyal Customer,58,Business travel,Business,4920,2,3,3,4,3,3,3,5,2,4,3,5,1,4,7,0.0,satisfied
977,Male,Loyal Customer,42,Business travel,Eco,2773,4,4,4,3,1,4,2,3,4,2,3,4,4,4,2,0.0,satisfied
978,Female,Loyal Customer,8,Personal Travel,Eco,2538,1,5,3,2,5,2,3,5,4,2,2,3,4,3,47,41.0,neutral or dissatisfied
979,Male,Loyal Customer,28,Personal Travel,Business,2358,4,1,5,5,3,3,3,2,2,3,3,3,3,3,8,8.0,satisfied
980,Female,disloyal Customer,84,Business travel,Eco,1908,2,4,2,0,4,3,4,3,4,2,3,4,5,3,5,2.0,neutral or dissatisfied
981,Female,Loyal Customer,35,Business travel,Business,2228,3,5,3,3,2,3,3,5,3,4,1,4,1,5,4,20.0,satisfied
982,Female,Loyal Customer,27,Business travel,Business,2329,5,2,2,3,2,3,3,2,4,2,2,2,1,3,2,2.0,neutral or dissatisfied
983,Female,Loyal Customer,58,Business travel,Eco,3830,2,4,3,3,3,2,2,4,2,3,2,2,4,4,1,7.0,satisfied
984,Female,Loyal Customer,58,Personal Travel,Eco,277,3,4,3,4,4,2,3,3,4,3,4,3,2,4,13,12.0,neutral or dissatisfied
985,Female,Loyal Customer,32,Business travel,Business,2529,4,1,4,3,2,3,5,2,4,5,3,1,3,2,4,4.0,neutral or dissatisfied
986,Female,Loyal Customer,73,Personal Travel,Eco,2768,3,4,2,4,3,1,0,3,3,3,1,4,2,4,0,0.0,neutral or dissatisfied
987,Female,Loyal Customer,52,Business travel,Eco,3778,1,3,4,2,1,2,3,1,5,5,2,2,4,2,14,14.0,satisfied
988,Male,Loyal Customer,19,Personal Travel,Business,3347,4,3,5,1,2,3,4,5,4,3,5,3,4,3,0,0.0,satisfied
989,Male,Loyal Customer,32,Business travel,Eco,2187,3,3,3,3,3,4,3,3,5,3,3,5,3,3,2,2.0,satisfied
990,Female,Loyal Customer,73,Business travel,Business,592,2,4,5,2,4,5,4,3,5,4,2,2,2,5,14,10.0,satisfied
991,Male,Loyal Customer,13,Personal Travel,Business,1891,3,3,4,2,1,3,4,2,1,5,1,4,3,2,32,50.0,neutral or dissatisfied
992,Female,disloyal Customer,7,Business travel,Business,1315,3,2,5,4,4,3,3,4,4,3,3,1,4,4,5,8.0,satisfied
993,Male,Loyal Customer,58,Business travel,Business,1060,2,3,3,5,3,1,2,4,4,4,3,4,3,1,0,4.0,neutral or dissatisfied
994,Male,Loyal Customer,41,Business travel,Business,3619,3,3,1,4,4,4,4,3,3,4,4,3,3,3,8,7.0,neutral or dissatisfied
995,Female,Loyal Customer,26,Business travel,Eco,2416,2,2,2,4,4,2,4,4,2,2,5,1,3,3,15,4.0,neutral or dissatisfied
996,Female,Loyal Customer,43,Personal Travel,Business,3978,4,2,2,3,4,3,3,4,2,3,2,2,4,5,24,,neutral or dissatisfied
997,Female,Loyal Customer,21,Personal Travel,Eco,735,4,3,2,4,5,4,4,3,2,3,3,3,4,2,12,11.0,satisfied
998,Male,Loyal Customer,36,Business travel,Business,4930,5,3,1,3,2,4,4,4,5,2,4,2,4,1,11,10.0,satisfied
999,Female,disloyal Customer,25,Personal Travel,Eco,2393,3,4,4,5,3,2,3,3,4,3,3,3,3,3,5,8.0,neutral or dissatisfied
1000,Female,Loyal Customer,52,Business travel,Eco,1303,2,3,1,2,2,4,4,2,2,3,1,2,4,2,11,12.0,neutral or dissatisfied
1001,Female,disloyal Customer,59,Personal Travel,Business,1846,1,2,4,4,3,3,4,3,2,3,4,1,2,3,20,17.0,satisfied
1002,Female,Loyal Customer,78,Business travel,Eco,4215,5,2,5,2,4,5,3,3,1,3,3,4,4,5,10,31.0,neutral or dissatisfied
1003,Female,Loyal Customer,12,Business travel,Eco,3564,4,3,2,4,4,5,5,3,5,2,2,3,4,3,21,23.0,satisfied
1004,Female,Loyal Customer,32,Business travel,Eco,901,2,3,3,1,3,5,2,5,3,5,2,1,5,4,23,20.0,satisfied
1005,Male,Loyal Customer,27,Business travel,Business,4951,5,3,3,2,2,2,3,4,4,3,5,4,2,3,33,30.0,neutral or dissatisfied
1006,Female,Loyal Customer,52,Personal Travel,Eco,697,4,3,4,2,3,4,4,3,3,4,5,3,2,4,11,16.0,satisfied
1007,Female,Loyal Customer,48,Business travel,Eco,1413,2,4,2,3,2,1,2,3,4,3,2,3,2,2,12,11.0,neutral or dissatisfied
1008,Female,Loyal Customer,75,Business travel,Business,3659,2,3,3,3,2,5,4,3,3,5,1,3,3,3,4,11.0,satisfied
1009,Female,Loyal Customer,78,Personal Travel,Eco,2672,3,3,4,5,4,5,3,4,4,2,4,4,4,4,0,0.0,satisfied
1010,Female,Loyal Customer,67,Business travel,Business,2257,2,2,3,3,4,4,5,3,4,3,5,3,2,2,2,0.0,satisfied
1011,Male,Loyal Customer,22,Business travel,Business,4635,3,2,1,4,4,3,4,3,2,3,5,5,4,3,10,0.0,neutral or dissatisfied
1012,Female,disloyal Customer,10,Business travel,Eco,3979,4,4,4,3,3,4,3,2,2,2,2,4,3,3,6,14.0,satisfied
1013,Male,Loyal Customer,77,Personal Travel,Eco Plus,4812,1,3,2,4,4,3,3,2,3,3,5,3,4,2,0,0.0,satisfied
1014,Male,Loyal Customer,80,Business travel,Business,1448,3,2,3,3,3,3,3,4,4,3,3,2,4,4,19,25.0,neutral or dissatisfied
1015,Female,Loyal Customer,26,Personal Travel,Business,4260,4,4,4,4,3,3,5,3,5,1,1,3,4,3,11,7.0,neutral or dissatisfied
1016,Female,Loyal Customer,10,Personal Travel,Business,1105,3,2,3,2,2,1,3,2,3,3,2,4,4,3,6,12.0,neutral or dissatisfied
1017,Male,disloyal Customer,60,Business travel,Eco,4039,3,3,5,0,1,2,3,3,3,3,2,3,4,4,3,13.0,neutral or dissatisfied
1018,Male,Loyal Customer,52,Business travel,Business,2766,2,4,4,3,1,5,3,2,4,4,4,5,2,4,4,0.0,satisfied
1019,Male,Loyal Customer,76,Personal Travel,Business,3009,4,3,3,1,3,3,3,5,3,1,2,4,2,2,0,0.0,neutral or dissatisfied
1020,Male,Loyal Customer,51,Personal Travel,Business,620,2,0,4,4,2,3,2,3,3,2,4,2,3,4,1,18.0,satisfied
1021,Male,Loyal Customer,66,Business travel,Eco,4401,3,3,3,2,1,3,3,4,5,2,4,2,3,4,0,3.0,satisfied
1022,Male,Loyal Customer,68,Personal Travel,Business,1429,3,4,3,2,3,3,2,3,3,4,4,4,2,2,5,10.0,neutral or dissatisfied
1023,Female,Loyal Customer,7,Personal Travel,Eco,3010,4,4,3,5,3,3,2,3,3,2,2,1,4,4,11,1.0,neutral or dissatisfied
1024,Female,Loyal Customer,18,Business travel,Business,872,2,1,3,3,3,3,4,3,2,4,4,3,2,4,8,0.0,neutral or dissatisfied
1025,Female,Loyal Customer,67,Personal Travel,Business,4633,2,5,3,3,3,1,3,4,5,3,2,2,3,4,6,7.0,neutral or dissatisfied
1026,Male,Loyal Customer,20,Business travel,Business,1634,2,2,2,4,3,4,2,3,2,4,4,3,3,4,2,0.0,neutral or dissatisfied
1027,Male,Loyal Customer,23,Personal Travel,Business,3825,3,2,1,4,2,5,3,4,3,4,3,2,4,2,4,0.0,satisfied
1028,Male,disloyal Customer,65,Personal Travel,Business,3839,3,4,4,4,4,2,3,3,4,2,3,4,3,2,1,3.0,satisfied
1029,Female,Loyal Customer,22,Business travel,Business,2774,2,3,2,2,3,3,3,4,2,3,3,2,5,4,23,10.0,neutral or dissatisfied
1030,Male,Loyal Customer,18,Business travel,Business,647,2,3,3,4,3,5,2,4,4,3,1,4,5,3,25,27.0,satisfied
1031,Male,Loyal Customer,8,Business travel,Business,1435,4,2,2,3,4,2,2,3,1,3,5,1,5,2,7,0.0,satisfied
1032,Male,Loyal Customer,43,Personal Travel,Business,3078,2,4,2,2,4,4,2,3,2,2,3,3,5,3,9,14.0,neutral or dissatisfied
1033,Female,Loyal Customer,56,Business travel,Business,2702,2,3,2,3,3,5,2,4,3,4,5,2,4,3,16,16.0,satisfied
1034,Male,Loyal Customer,64,Personal Travel,Business,2944,4,1,4,1,3,4,2,5,5,3,4,4,4,3,11,15.0,neutral or dissatisfied
1035,Male,disloyal Customer,77,Business travel,Business,1284,3,4,4,4,3,3,2,4,3,3,2,2,2,3,15,25.0,neutral or dissatisfied
1036,Female,Loyal Customer,57,Business travel,Eco,2713,4,3,3,3,1,4,4,0,3,3,3,3,3,5,6,1.0,neutral or dissatisfied
1037,Female,Loyal Customer,66,Personal Travel,Eco Plus,472,3,4,2,2,4,4,5,2,4,0,1,3,4,2,6,0.0,neutral or dissatisfied
1038,Male,Loyal Customer,23,Business travel,Eco,2447,3,4,1,3,2,2,4,3,2,4,5,2,1,1,31,40.0,neutral or dissatisfied
1039,Male,Loyal Customer,33,Business travel,Business,502,3,5,4,3,4,1,3,2,0,4,4,2,5,2,1,14.0,neutral or dissatisfied
1040,Female,Loyal Customer,30,Business travel,Eco Plus,3336,5,3,2,4,3,4,3,2,5,3,3,3,3,2,8,18.0,satisfied
1041,Female,Loyal Customer,12,Business travel,Eco Plus,2855,4,3,2,2,5,4,3,3,4,1,3,1,3,4,11,0.0,satisfied
1042,Female,disloyal Customer,82,Business travel,Business,4266,4,4,3,3,4,3,3,4,3,2,2,4,4,3,4,8.0,satisfied
1043,Male,Loyal Customer,25,Business travel,Business,2337,2,3,3,3,4,5,5,4,3,4,5,3,4,4,9,2.0,satisfied
1044,Male,Loyal Customer,41,Business travel,Eco,852,2,4,1,2,2,5,5,3,4,3,5,1,3,2,3,10.0,satisfied
1045,Female,Loyal Customer,34,Business travel,Eco Plus,1214,4,0,1,3,2,4,2,3,3,3,5,3,2,4,3,1.0,neutral or dissatisfied
1046,Male,disloyal Customer,10,Business travel,Eco,4079,5,3,3,2,3,3,5,2,3,3,3,4,2,1,2,0.0,satisfied
1047,Male,Loyal Customer,77,Business travel,Eco,4793,4,3,2,1,1,1,3,4,5,3,4,2,1,3,4,1.0,neutral or dissatisfied
1048,Female,Loyal Customer,24,Business travel,Eco,354,3,3,4,4,2,3,3,4,2,2,4,1,5,4,0,0.0,satisfied
1049,Female,disloyal Customer,14,Personal Travel,Eco Plus,3398,4,2,3,5,2,1,4,4,4,3,3,3,3,2,10,0.0,neutral or dissatisfied
1050,Male,Loyal Customer,33,Business travel,Business,2436,4,4,4,3,2,1,5,3,2,4,5,4,2,5,4,1.0,satisfied
1051,Female,disloyal Customer,18,Business travel,Business,1326,3,2,2,3,4,4,4,2,5,2,5,3,4,1,6,7.0,satisfied
1052,Male,Loyal Customer,84,Business travel,Eco,2581,3,3,3,3,4,4,4,3,4,3,5,3,2,4,27,38.0,neutral or dissatisfied
1053,Female,Loyal Customer,21,Personal Travel,Business,4682,3,3,4,2,3,1,4,4,2,4,3,4,2,4,7,11.0,satisfied
1054,Female,Loyal Customer,30,Personal Travel,Business,1028,2,4,2,4,3,3,4,1,2,4,1,5,5,2,16,14.0,neutral or dissatisfied
1055,Male,Loyal Customer,28,Personal Travel,Business,4193,2,5,4,3,2,3,4,3,3,3,3,0,4,4,7,5.0,satisfied
1056,Female,Loyal Customer,9,Personal Travel,Business,493,2,3,1,1,5,3,4,4,3,3,3,2,3,2,16,0.0,neutral or dissatisfied
1057,Male,Loyal Customer,8,Business travel,Business,3617,1,4,2,4,3,2,3,5,4,3,3,3,3,3,3,0.0,satisfied
1058,Female,Loyal Customer,47,Personal Travel,Eco,420,3,3,1,4,2,5,1,3,2,3,5,3,3,3,21,22.0,neutral or dissatisfied
1059,Male,Loyal Customer,25,Business travel,Business,350,3,2,2,4,4,2,5,3,2,4,3,1,4,3,12,8.0,neutral or dissatisfied
1060,Male,Loyal Customer,13,Personal Travel,Eco,234,4,3,3,0,4,1,2,5,3,2,2,2,3,3,43,39.0,satisfied
1061,Female,Loyal Customer,29,Personal Travel,Business,4033,4,3,4,3,2,2,3,3,2,2,2,5,5,3,10,0.0,satisfied
1062,Female,Loyal Customer,28,Personal Travel,Eco Plus,2889,4,4,3,4,1,4,3,4,3,1,5,3,2,2,4,0.0,satisfied
1063,Male,Loyal Customer,40,Business travel,Eco,3467,5,3,2,3,2,3,3,4,2,2,3,3,3,4,33,25.0,neutral or dissatisfied
1064,Female,disloyal Customer,84,Personal Travel,Eco Plus,819,2,2,1,3,2,2,2,3,4,2,3,5,4,5,30,25.0,neutral or dissatisfied
1065,Female,Loyal Customer,30,Business travel,Business,4611,1,3,2,4,3,4,4,4,3,2,5,3,3,5,31,7.0,satisfied
1066,Male,Loyal Customer,61,Business travel,Business,4053,4,1,3,3,1,4,4,3,3,2,4,4,4,4,1,0.0,satisfied
1067,Female,Loyal Customer,66,Business travel,Eco,2468,5,3,4,4,3,1,4,5,4,3,1,4,5,3,43,43.0,neutral or dissatisfied
1068,Female,Loyal Customer,10,Business travel,Eco,4499,5,3,3,3,3,4,4,1,2,2,3,3,3,4,5,8.0,neutral or dissatisfied
1069,Male,Loyal Customer,46,Business travel,Business,757,4,5,4,3,3,4,3,3,4,4,2,3,4,4,5,2.0,satisfied
1070,Male,Loyal Customer,41,Business travel,Eco,1497,1,4,2,4,4,3,3,3,3,4,1,4,3,3,10,16.0,satisfied
1071,Female,Loyal Customer,46,Business travel,Eco,289,3,2,3,3,3,3,4,3,3,5,3,3,3,5,30,44.0,satisfied
1072,Male,disloyal Customer,20,Business travel,Business,864,4,3,3,2,5,5,3,4,3,2,0,2,5,4,12,1.0,satisfied
1073,Female,Loyal Customer,43,Business travel,Eco,4215,4,3,5,3,4,2,3,3,3,3,4,4,2,2,0,0.0,satisfied
1074,Female,Loyal Customer,16,Business travel,Business,2077,5,3,3,4,3,3,4,4,3,2,3,0,4,4,1,3.0,neutral or dissatisfied
1075,Male,disloyal Customer,80,Personal Travel,Business,3244,4,3,1,4,2,4,3,3,3,2,2,5,3,4,4,8.0,neutral or dissatisfied
1076,Male,disloyal Customer,52,Business travel,Eco,4413,2,3,4,4,2,3,3,4,2,3,1,3,2,2,12,3.0,satisfied
1077,Female,Loyal Customer,9,Personal Travel,Eco,3831,2,5,5,3,1,3,3,3,5,2,5,3,4,3,5,18.0,neutral or dissatisfied
1078,Male,Loyal Customer,46,Business travel,Eco,2029,4,3,3,3,3,3,4,4,2,2,3,3,4,3,41,34.0,neutral or dissatisfied
1079,Male,Loyal Customer,79,Business travel,Eco,1774,2,3,2,2,3,5,4,3,3,3,4,4,2,0,7,6.0,neutral or dissatisfied
1080,Female,Loyal Customer,64,Business travel,Eco Plus,586,5,0,4,3,4,4,3,2,4,2,3,3,3,2,13,18.0,neutral or dissatisfied
1081,Female,Loyal Customer,28,Business travel,Business,4156,1,4,5,1,3,3,2,5,3,4,5,3,3,4,1,,neutral or dissatisfied
1082,Female,Loyal Customer,76,Business travel,Business,4924,4,4,4,3,4,2,3,2,3,4,4,2,3,2,26,19.0,neutral or dissatisfied
1083,Female,Loyal Customer,21,Business travel,Business,2525,3,2,1,5,4,2,3,3,1,2,3,2,3,4,6,11.0,satisfied
1084,Female,Loyal Customer,26,Business travel,Eco,2523,3,2,4,1,2,4,2,2,1,5,2,4,5,5,2,2.0,neutral or dissatisfied
1085,Male,Loyal Customer,19,Business travel,Eco,4249,2,3,3,3,2,1,3,4,3,3,5,3,2,1,0,0.0,neutral or dissatisfied
1086,Female,Loyal Customer,78,Business travel,Eco,1744,1,3,2,3,3,5,4,3,3,3,3,5,2,5,3,0.0,satisfied
1087,Female,Loyal Customer,62,Business travel,Business,2062,2,4,4,4,2,3,5,5,4,1,2,2,3,3,10,1.0,satisfied
1088,Female,Loyal Customer,47,Personal Travel,Business,4473,2,3,3,2,3,2,2,4,4,1,3,2,1,4,0,5.0,satisfied
1089,Female,Loyal Customer,59,Business travel,Eco,1927,4,5,4,4,3,3,2,3,1,5,3,3,2,5,43,32.0,neutral or dissatisfied
1090,Male,disloyal Customer,27,Business travel,Eco,4640,2,2,2,2,3,2,4,2,5,4,4,3,3,4,4,7.0,neutral or dissatisfied
1091,Female,disloyal Customer,12,Business travel,Business,848,3,5,3,1,3,3,3,3,2,5,1,2,3,3,0,0.0,satisfied
1092,Male,disloyal Customer,72,Business travel,Eco,2509,2,4,2,4,2,2,4,4,4,5,5,2,3,3,23,25.0,satisfied
1093,Female,disloyal Customer,82,Business travel,Eco,2474,4,4,3,4,4,3,3,3,3,5,4,4,3,3,4,4.0,neutral or dissatisfied
1094,Male,disloyal Customer,9,Business travel,Eco,1568,1,2,5,2,3,1,4,3,5,3,3,2,2,3,4,0.0,neutral or dissatisfied
1095,Male,Loyal Customer,11,Business travel,Business,4816,5,4,1,2,2,3,2,2,3,4,4,2,3,5,16,19.0,satisfied
1096,Male,Loyal Customer,50,Business travel,Eco,2439,3,4,1,2,2,2,4,5,3,2,2,2,4,4,9,9.0,neutral or dissatisfied
1097,Female,Loyal Customer,10,Business travel,Business,4401,0,1,4,1,4,3,1,3,3,3,3,2,1,3,4,0.0,satisfied
1098,Female,Loyal Customer,63,Business travel,Business,1135,2,1,3,4,5,2,4,2,3,4,4,4,4,3,0,20.0,neutral or dissatisfied
1099,Male,Loyal Customer,80,Business travel,Eco,1777,2,3,4,4,3,3,3,2,2,4,3,2,1,4,36,27.0,satisfied
1100,Male,Loyal Customer,28,Personal Travel,Business,2417,2,3,2,3,3,4,4,3,5,3,4,5,3,1,10,14.0,satisfied
1101,Male,disloyal Customer,29,Business travel,Business,2841,3,2,3,3,4,4,3,5,3,1,4,2,4,5,13,,satisfied
1102,Male,Loyal Customer,74,Business travel,Business,1185,2,4,4,3,4,5,1,3,2,1,2,3,4,3,23,21.0,neutral or dissatisfied
1103,Female,disloyal Customer,34,Business travel,Business,1599,2,2,3,3,3,3,5,3,3,4,5,3,3,2,1,2.0,neutral or dissatisfied
1104,Male,Loyal Customer,25,Personal Travel,Eco,3129,2,2,1,2,4,4,4,4,3,2,3,3,3,4,2,5.0,neutral or dissatisfied
1105,Male,Loyal Customer,13,Personal Travel,Business,1428,4,2,5,4,2,4,4,4,2,4,5,0,2,4,8,8.0,satisfied
1106,Male,Loyal Customer,72,Personal Travel,Eco,3811,4,4,3,2,2,4,2,4,4,2,5,2,5,3,2,0.0,satisfied
1107,Male,Loyal Customer,79,Business travel,Eco,2411,3,1,2,4,3,2,3,3,3,4,4,3,4,5,12,12.0,satisfied
1108,Female,Loyal Customer,13,Business travel,Business,4848,3,2,3,2,3,4,2,2,3,2,2,1,2,4,4,0.0,satisfied
1109,Female,Loyal Customer,69,Personal Travel,Eco,1226,2,1,3,2,4,2,3,2,4,5,3,0,5,4,2,12.0,neutral or dissatisfied
1110,Male,disloyal Customer,19,Business travel,Business,4220,3,3,4,3,4,3,2,1,2,1,4,2,3,1,49,55.0,neutral or dissatisfied
1111,Female,Loyal Customer,17,Personal Travel,Business,2476,3,4,4,3,1,3,5,3,3,4,3,3,2,3,2,2.0,satisfied
1112,Male,Loyal Customer,36,Business travel,Business,476,3,4,3,3,3,4,4,3,3,2,4,4,4,3,17,12.0,neutral or dissatisfied
1113,Male,Loyal Customer,41,Business travel,Business,3540,3,2,1,2,5,2,5,3,4,3,4,2,5,3,26,24.0,neutral or dissatisfied
1114,Male,Loyal Customer,73,Business travel,Business,1097,3,4,4,3,2,2,3,4,3,4,3,3,3,3,27,23.0,satisfied
1115,Male,Loyal Customer,61,Business travel,Business,735,2,3,1,3,2,2,4,2,3,4,2,3,4,4,14,14.0,neutral or dissatisfied
1116,Male,Loyal Customer,18,Personal Travel,Eco,2681,4,4,4,4,1,3,4,3,1,2,5,4,3,2,0,0.0,satisfied
1117,Female,Loyal Customer,52,Business travel,Eco,3940,3,3,2,3,3,2,2,3,2,2,4,4,4,5,12,8.0,neutral or dissatisfied
1118,Female,Loyal Customer,75,Business travel,Eco Plus,1325,5,0,4,2,4,3,2,3,1,1,3,4,4,3,13,5.0,neutral or dissatisfied
1119,Female,Loyal Customer,58,Business travel,Eco,3134,3,4,2,2,4,3,4,4,2,1,2,2,4,2,28,23.0,neutral or dissatisfied
1120,Male,Loyal Customer,24,Personal Travel,Eco,121,5,2,2,1,2,4,3,2,4,2,4,3,1,3,28,42.0,neutral or dissatisfied
1121,Male,Loyal Customer,17,Business travel,Business,963,4,3,2,3,3,3,2,4,5,2,3,3,3,3,12,10.0,satisfied
1122,Male,Loyal Customer,42,Personal Travel,Eco,3786,3,3,4,4,3,5,3,3,3,1,4,3,4,5,7,8.0,satisfied
1123,Male,Loyal Customer,43,Personal Travel,Business,113,2,1,2,2,3,3,2,4,4,3,2,1,2,4,0,0.0,neutral or dissatisfied
1124,Male,Loyal Customer,34,Business travel,Eco Plus,1820,2,3,4,3,2,2,1,3,2,3,4,5,4,4,7,11.0,satisfied
1125,Female,Loyal Customer,15,Personal Travel,Eco Plus,2563,4,4,2,3,3,3,1,4,2,3,3,3,2,3,10,7.0,neutral or dissatisfied
1126,Female,Loyal Customer,16,Personal Travel,Business,377,3,3,3,4,2,3,3,3,5,2,5,4,4,3,3,0.0,neutral or dissatisfied
1127,Female,Loyal Customer,48,Business travel,Eco,4893,2,2,3,4,1,2,4,4,2,2,4,4,3,5,2,0.0,satisfied
1128,Female,Loyal Customer,80,Business travel,Eco,2568,4,4,3,1,4,5,5,4,1,3,2,3,4,3,3,0.0,satisfied
1129,Female,Loyal Customer,53,Business travel,Eco,1725,3,2,2,4,3,3,3,3,3,4,4,1,4,3,1,13.0,satisfied
1130,Female,disloyal Customer,41,Business travel,Business,4887,4,2,4,3,4,2,2,3,3,2,5,4,2,2,24,27.0,satisfied
1131,Male,Loyal Customer,79,Business travel,Eco,2814,2,3,3,2,2,3,3,4,4,1,3,4,5,4,17,13.0,neutral or dissatisfied
1132,Female,disloyal Customer,60,Personal Travel,Eco,3408,4,3,4,2,4,2,4,3,5,3,2,3,2,2,49,55.0,neutral or dissatisfied
1133,Female,Loyal Customer,62,Business travel,Business,497,4,3,3,3,4,4,4,2,4,3,1,5,5,3,1,10.0,satisfied
1134,Female,Loyal Customer,51,Business travel,Eco,835,4,4,4,2,5,4,4,4,3,1,4,2,1,3,9,4.0,satisfied
1135,Female,Loyal Customer,66,Business travel,Business,273,4,3,3,2,4,3,4,3,4,3,1,3,3,4,1,0.0,neutral or dissatisfied
1136,Male,Loyal Customer,46,Personal Travel,Eco Plus,2595,3,3,2,2,3,4,3,5,5,2,3,3,2,1,6,6.0,satisfied
1137,Female,disloyal Customer,55,Business travel,Business,4189,3,3,3,2,1,3,4,3,5,3,1,2,5,1,13,7.0,satisfied
1138,Male,Loyal Customer,55,Business travel,Business,4513,5,4,2,4,3,2,2,2,3,3,5,3,2,3,14,11.0,neutral or dissatisfied
1139,Female,Loyal Customer,65,Business travel,Business,2892,3,3,5,3,1,3,1,3,4,2,5,4,2,3,1,0.0,satisfied
1140,Female,Loyal Customer,77,Business travel,Eco,318,4,1,3,5,2,3,5,4,5,4,4,2,3,2,15,14.0,satisfied
1141,Female,Loyal Customer,29,Business travel,Eco,3149,3,4,1,3,5,1,3,4,4,3,4,2,5,2,15,39.0,neutral or dissatisfied
1142,Male,Loyal Customer,61,Personal Travel,Business,3207,1,3,2,4,2,2,4,4,3,3,3,4,5,4,14,7.0,satisfied
1143,Female,disloyal Customer,9,Business travel,Business,3005,2,4,2,2,0,2,0,3,3,3,2,2,3,3,17,6.0,satisfied
1144,Female,Loyal Customer,48,Business travel,Eco,3620,3,3,4,3,4,2,5,4,3,3,1,3,3,4,2,9.0,satisfied
1145,Male,disloyal Customer,77,Business travel,Business,2808,4,1,4,3,2,5,4,1,2,1,4,3,4,2,10,11.0,satisfied
1146,Male,Loyal Customer,57,Personal Travel,Business,3534,3,0,3,2,4,4,1,2,4,1,2,4,3,3,12,10.0,satisfied
